time	ke_at_point[J/kg]
0.163	887.508
0.1635	888.089
0.164	887.477
0.1645	886.045
0.165	883.886
0.1655	880.686
0.166	877.388
0.1665	873.959
0.167	871.107
0.1675	868.954
0.168	867.806
0.1685	867.169
0.169	866.918
0.1695	866.862
0.17	867.249
0.1705	867.965
0.171	868.903
0.1715	870.625
0.172	872.917
0.1725	875.707
0.173	878.025
0.1735	879.952
0.174	881.453
0.1745	882.609
0.175	883.46
0.1755	883.574
0.176	883.391
0.1765	883.691
0.177	884.875
0.1775	884.615
0.178	883.241
0.1785	881.59
0.179	880.858
0.1795	881.029
0.18	881.914
0.1805	882.833
0.181	884.124
0.1815	885.775
0.182	887.387
0.1825	888.621
0.183	889.976
0.1835	891.249
0.184	892.262
0.1845	892.445
0.185	892.282
0.1855	891.375
0.186	890.124
0.1865	889.42
0.187	889.549
0.1875	889.767
0.188	890.592
0.1885	891.916
0.189	893.438
0.1895	893.688
0.19	892.536
0.1905	889.697
0.191	886.02
0.1915	882.25
0.192	879.065
0.1925	876.562
0.193	874.52
0.1935	873.247
0.194	871.986
0.1945	870.669
0.195	869.698
0.1955	869.208
0.196	868.699
0.1965	868.291
0.197	868.071
0.1975	868.239
0.198	868.569
0.1985	868.994
0.199	869.723
0.1995	870.74
0.2	871.89
0.2005	873.083
0.201	873.886
0.2015	874.456
0.202	874.999
0.2025	875.207
0.203	874.866
0.2035	874.032
0.204	873.24
0.2045	871.929
0.205	870.037
0.2055	868.138
0.206	866.558
0.2065	865.502
0.207	864.492
0.2075	864.132
0.208	864.507
0.2085	865.771
0.209	867.069
0.2095	868.283
0.21	868.981
0.2105	869.054
0.211	868.211
0.2115	867.628
0.212	867.559
0.2125	868.535
0.213	870.569
0.2135	873.582
0.214	877.607
0.2145	881.333
0.215	884.352
0.2155	886.84
0.216	889.045
0.2165	891.887
0.217	895.155
0.2175	897.79
0.218	898.13
0.2185	896.841
0.219	894.68
0.2195	892.755
0.22	890.675
0.2205	888.632
0.221	886.104
0.2215	883.674
0.222	880.445
0.2225	877.323
0.223	874.782
0.2235	873.356
0.224	872.536
0.2245	872.467
0.225	871.755
0.2255	870.828
0.226	869.711
0.2265	868.822
0.227	867.786
0.2275	867.308
0.228	867.416
0.2285	867.374
0.229	866.785
0.2295	866.088
0.23	866.184
0.2305	866.808
0.231	867.644
0.2315	868.493
0.232	868.58
0.2325	867.797
0.233	866.253
0.2335	865.047
0.234	864.259
0.2345	864.146
0.235	864.904
0.2355	866.82
0.236	869.665
0.2365	873.184
0.237	876.555
0.2375	879.981
0.238	882.893
0.2385	885.176
0.239	886.639
0.2395	886.464
0.24	884.102
0.2405	881.263
0.241	877.848
0.2415	874.559
0.242	871.729
0.2425	870.022
0.243	869.116
0.2435	868.764
0.244	868.735
0.2445	868.866
0.245	868.864
0.2455	868.289
0.246	867.231
0.2465	866.133
0.247	865.304
0.2475	864.072
0.248	862.774
0.2485	861.599
0.249	860.611
0.2495	860.391
0.25	860.897
0.2505	861.894
0.251	863.359
0.2515	865.245
0.252	867.207
0.2525	868.998
0.253	870.822
0.2535	872.758
0.254	874.544
0.2545	875.69
0.255	876.659
0.2555	877.023
0.256	876.757
0.2565	875.796
0.257	874.622
0.2575	873.361
0.258	872.019
0.2585	870.699
0.259	869.498
0.2595	867.956
0.26	866.861
0.2605	865.859
0.261	865.476
0.2615	865.815
0.262	866.537
0.2625	867.574
0.263	868.459
0.2635	869.629
0.264	871.363
0.2645	873.212
0.265	874.854
0.2655	875.695
