0	0	0	0	0	0	0	0	0	0	0	0	0
5E-4	5.90173099183646E-9	-9.66722412549681E-9	-2.52035092111376E-8	6.46668984924466E-9	-7.45909152657417E-8	-5.57229663902026E-8	1.93742663024941E-8	-5.10258383978296E-9	-1.04087801749703E-7	-1.18855608382185E-7	-7.20776848370722E-8	1.72242132661908E-7
0.001	5.12504387069673E-8	-3.31452422148381E-8	-9.08754621933107E-8	2.54683101463756E-8	-2.64577012573952E-7	-1.95531558162627E-7	4.06904454080113E-8	-5.27747184145064E-8	-1.99246389361912E-7	-2.40234326979272E-7	-4.68252148924955E-7	4.73480368782435E-7
0.0015	1.62494917581796E-7	-4.96759889920917E-8	-1.59063854417435E-7	5.04513445853045E-8	-4.94670549799381E-7	-3.57030503655296E-7	2.19926794700681E-8	-1.58957500021023E-7	5.0823021480941E-8	2.84867509281003E-8	-1.38561422157471E-6	5.14238146799172E-7
0.002	3.12251805763627E-7	-4.49027211323233E-8	-2.06467829740393E-7	6.38738181828303E-8	-7.3243087622971E-7	-5.05053772146576E-7	-3.01250115919921E-8	-2.99152478970619E-7	6.93059152931682E-7	7.85550272487908E-7	-2.79467214729805E-6	1.87787237075935E-7
0.0025	4.77393587872128E-7	-2.23292057930023E-8	-2.39944063175951E-7	5.31794432073328E-8	-9.74652605341036E-7	-6.31449353645421E-7	-1.10852096135443E-7	-4.73554327890142E-7	1.65169384456185E-6	1.96947823844229E-6	-4.62062607080355E-6	-4.41925262024438E-7
0.003	6.6108409625059E-7	1.42540161118208E-8	-2.68071633111466E-7	2.57244106818928E-8	-1.22315038725017E-6	-7.40297536982909E-7	-2.25652795194958E-7	-6.9034858904851E-7	2.87611820914007E-6	3.53099784460813E-6	-6.79950410836356E-6	-1.3224578796302E-6
0.0035	8.47878478370492E-7	6.50510697947348E-8	-3.17550395087662E-7	-2.18253883640445E-8	-1.49014408165451E-6	-8.50860137105697E-7	-3.94096250304038E-7	-9.67044483881236E-7	4.31058696900413E-6	5.41147718319302E-6	-9.28118728298681E-6	-2.39310620323783E-6
0.004	1.0323268310368E-6	1.44224530737892E-7	-4.06870315220489E-7	-9.62412272899939E-8	-1.75768760628352E-6	-9.70942448043811E-7	-6.39334203938914E-7	-1.31888792542235E-6	5.94301133781221E-6	7.57731777404496E-6	-1.20248893991098E-5	-3.64941152344933E-6
0.0045	1.23920319771706E-6	2.82211870178612E-7	-5.13185603933798E-7	-1.63520726573884E-7	-1.98258070359264E-6	-1.07936664919217E-6	-9.54263954964566E-7	-1.72924790498484E-6	7.78033140621542E-6	1.00142069365399E-5	-1.49588918953269E-5	-5.12118084541777E-6
